concept,count
hypertension,15273
diabetes mellitus,10495
myocardial infarction,7209
lung cancer,5890
type 2 diabetes,4011
dementia,3008
T2DM,2109
Alzheimer's disease,2071
acute MI(full),1387
NSCLC(full),593
high blood pressure,474
heart attack,53
