chunk_size,paras_over,paras_over_pct,docs_with_split,n_chunks,chunks_per_doc_p50,chunks_per_doc_max,chunk_len_p50,chunk_len_p90,chunk_len_p99,chunk_len_max,fill_rate_p50,est_chunks_overlap125
128,24590,32.75,1017,84968,77,575,110,128,128,128,85.9,97106
256,10037,13.37,999,42406,39,274,226,255,256,256,88.3,48464
384,4035,5.37,901,28903,27,188,332,381,384,384,86.5,33032
512,1873,2.49,691,21679,20,144,437,507,512,512,85.4,24776
768,620,0.83,405,14226,13,96,668,759,768,768,87.0,16258
1024,306,0.41,253,10460,9,69,910,1013,1024,1024,88.9,11954
